Process Name,PID,CPU Percent,Memory Percent
amsengagementd,612,0.0,0.08778572082519531
CategoriesService,613,0.0,0.0118255615234375
osanalyticshelper,618,0.0,0.011014938354492188
commerce,619,0.0,0.05459785461425781
coresymbolicationd,621,0.0,0.006961822509765625
ProtectedCloudKeySyncing,622,0.0,0.025224685668945312
Keychain Circle Notification,623,0.0,0.013399124145507812
CloudKeychainProxy,625,0.0,0.004100799560546875
seserviced,626,0.0,0.010633468627929688
AssetCacheLocatorService,628,0.0,0.03390312194824219
com.apple.CloudPhotosConfiguration,632,0.0,0.0362396240234375
photolibraryd,633,0.0,0.05326271057128906
XprotectService,636,0.0,0.029039382934570312
com.apple.geod,637,0.0,0.055980682373046875
axassetsd,639,0.0,0.044727325439453125
mdbulkimport,640,0.0,0.08287429809570312
passd,641,0.0,0.026750564575195312
contentlinkingd,647,0.0,0.0194549560546875
followupd,652,0.0,0.01163482666015625
CVMServer,653,0.0,0.001239776611328125
plugin_host-3.3,655,0.0,0.005340576171875
plugin_host-3.8,656,0.0,0.009441375732421875
deleted,658,0.0,0.091552734375
com.apple.WebKit.Networking,681,0.0,0.16493797302246094
ImageIOXPCService,682,0.0,0.021409988403320312
SafariBookmarksSyncAgent,683,0.0,0.03447532653808594
Grammarly Safari Extension,685,0.0,0.07653236389160156
progressd,687,0.0,0.004291534423828125
com.apple.WebKit.GPU,688,0.0,0.00896453857421875
findmydevice-user-agent,690,0.0,0.023555755615234375
PasswordBreachAgent,692,0.0,0.00438690185546875
dataaccessd,694,0.0,0.14939308166503906
AirPlayUIAgent,695,0.0,0.013113021850585938
CallHistoryPluginHelper,702,0.0,0.03628730773925781
chrome_crashpad_handler,705,0.0,0.0040531158447265625
com.apple.WebKit.WebContent,710,0.0,0.09112358093261719
com.apple.WebKit.WebContent,713,0.0,0.17294883728027344
Google Chrome Helper (GPU),715,0.0,0.7131576538085938
Google Chrome Helper,716,0.0,0.5125999450683594
Google Chrome Helper,717,0.0,0.07524490356445312
Google Chrome Helper (Alerts),718,0.0,0.09036064147949219
com.apple.WebKit.WebContent,720,0.0,0.17023086547851562
installd,722,0.0,0.008869171142578125
Google Chrome Helper (Renderer),724,0.0,0.4905223846435547
Google Chrome Helper (Renderer),725,0.0,0.08378028869628906
Google Chrome Helper (Renderer),726,0.0,0.1479625701904297
com.apple.WebKit.GPU,739,0.0,0.005245208740234375
com.apple.WebKit.WebContent,740,0.0,0.2395153045654297
